Fold1,Mean±Std
33.00,33.00±nan
39.00,39.00±nan
38.00,38.00±nan
57.00,57.00±nan
35.00,35.00±nan
42.00,42.00±nan
42.00,42.00±nan
23.00,23.00±nan
30.00,30.00±nan
37.00,37.00±nan
58.00,58.00±nan
41.00,41.00±nan
26.00,26.00±nan
29.00,29.00±nan
23.00,23.00±nan
31.00,31.00±nan
39.00,39.00±nan
50.00,50.00±nan
43.00,43.00±nan
33.00,33.00±nan
27.00,27.00±nan
29.00,29.00±nan
25.00,25.00±nan
23.00,23.00±nan
30.00,30.00±nan
26.00,26.00±nan
43.00,43.00±nan
36.00,36.00±nan
30.00,30.00±nan
54.00,54.00±nan
39.00,39.00±nan
34.00,34.00±nan
25.00,25.00±nan
25.00,25.00±nan
28.00,28.00±nan
62.00,62.00±nan
39.00,39.00±nan
37.00,37.00±nan
33.00,33.00±nan
30.00,30.00±nan
48.00,48.00±nan
30.00,30.00±nan
43.00,43.00±nan
35.00,35.00±nan
30.00,30.00±nan
29.00,29.00±nan
33.00,33.00±nan
41.00,41.00±nan
53.00,53.00±nan
26.00,26.00±nan
31.00,31.00±nan
34.00,34.00±nan
29.00,29.00±nan
30.00,30.00±nan
35.48,35.48±9.34
