Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
62.5,61.25,38.75,61.25,40.0,52.75±12.23,14.41±9.88
52.5,40.0,41.25,67.5,52.5,50.75±11.10,12.42±10.02
41.25,43.75,50.0,46.25,40.0,44.25±4.01,6.49±2.60
85.0,77.5,90.0,92.5,88.75,86.75±5.84,62.10±12.00
42.5,30.0,32.5,41.25,40.0,37.25±5.62,3.04±2.16
70.0,71.25,60.0,82.5,82.5,73.25±9.50,38.24±14.27
85.0,80.0,95.0,92.5,90.0,88.50±6.02,66.17±13.46
41.25,41.25,35.0,38.75,47.5,40.75±4.56,4.54±2.48
43.75,58.75,35.0,46.25,53.75,47.50±9.19,9.47±6.55
63.75,40.0,41.25,55.0,57.5,51.50±10.44,12.86±8.60
100.0,100.0,95.0,96.25,100.0,98.25±2.44,93.44±9.08
91.25,92.5,95.0,91.25,88.75,91.75±2.27,73.12±5.83
45.0,43.75,46.25,48.75,48.75,46.50±2.24,7.84±1.54
36.25,35.0,37.5,38.75,42.5,38.00±2.88,3.06±1.34
50.0,53.75,50.0,56.25,48.75,51.75±3.14,11.92±2.72
75.0,68.75,63.75,75.0,73.75,71.25±4.92,34.28±6.86
37.5,46.25,41.25,46.25,50.0,44.25±4.89,6.58±2.97
85.0,88.75,78.75,91.25,92.5,87.25±5.55,63.14±11.68
43.75,46.25,46.25,38.75,46.25,44.25±3.26,6.42±1.88
38.75,32.5,36.25,30.0,36.25,34.75±3.47,1.85±1.12
51.25,80.0,71.25,66.25,76.25,69.00±11.19,32.43±14.16
42.5,55.0,45.0,42.5,46.25,46.25±5.15,7.92±3.93
28.75,26.25,33.75,31.25,30.0,30.00±2.80,0.57±0.52
48.75,37.5,46.25,30.0,26.25,37.75±9.82,4.05±4.25
48.75,67.5,67.5,48.75,76.25,61.75±12.39,23.59±13.98
40.0,42.5,37.5,40.0,32.5,38.50±3.79,3.36±1.58
72.5,58.75,68.75,61.25,60.0,64.25±6.03,25.10±7.61
41.25,48.75,57.5,47.5,45.0,48.00±6.03,9.27±4.77
52.5,52.5,62.5,55.0,53.75,55.25±4.18,15.14±4.25
75.0,72.5,82.5,80.0,65.0,75.00±6.85,40.34±10.63
91.25,95.0,88.75,86.25,93.75,91.00±3.58,71.50±8.80
62.5,85.0,82.5,55.0,83.75,73.75±13.98,40.53±20.26
33.75,26.25,41.25,31.25,33.75,33.25±5.42,1.61±1.74
22.5,33.75,30.0,40.0,33.75,32.00±6.41,1.42±1.51
40.0,35.0,35.0,38.75,28.75,35.50±4.38,2.21±1.43
98.75,97.5,98.75,96.25,95.0,97.25±1.63,89.02±5.45
88.75,73.75,76.25,71.25,76.25,77.25±6.75,44.12±12.49
45.0,50.0,28.75,52.5,42.5,43.75±9.27,7.02±4.73
67.5,55.0,45.0,63.75,65.0,59.25±9.25,19.97±9.04
40.0,35.0,37.5,36.25,43.75,38.50±3.47,3.33±1.68
76.25,83.75,71.25,81.25,65.0,75.50±7.58,41.32±11.98
66.25,43.75,42.5,51.25,43.75,49.50±9.98,11.15±9.27
88.75,91.25,96.25,85.0,93.75,91.00±4.37,71.73±10.80
38.75,83.75,81.25,66.25,72.5,68.50±18.04,34.33±20.64
40.0,43.75,40.0,41.25,36.25,40.25±2.71,4.12±1.35
37.5,33.75,52.5,43.75,48.75,43.25±7.74,6.39±4.59
33.75,23.75,26.25,23.75,32.5,28.00±4.81,0.49±0.66
57.5,52.5,62.5,52.5,63.75,57.75±5.33,17.72±5.46
83.75,88.75,83.75,73.75,83.75,82.75±5.48,53.74±10.09
48.75,63.75,37.5,53.75,50.0,50.75±9.46,12.02±7.78
36.25,40.0,38.75,26.25,31.25,34.50±5.70,2.04±1.65
50.0,68.75,66.25,61.25,57.5,60.75±7.43,21.24±7.97
36.25,37.5,35.0,42.5,35.0,37.25±3.11,2.76±1.45
37.5,31.25,31.25,25.0,40.0,33.00±5.90,1.62±1.64
55.79,56.76,55.74,56.25,57.06,56.32±19.94,23.23±25.16
