Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
50.0,61.25,46.25,38.75,45.0,48.25±8.32,8.43±5.83
51.25,55.0,53.75,80.0,62.5,60.50±11.68,18.90±12.97
36.25,53.75,47.5,45.0,55.0,47.50±7.55,7.84±4.37
88.75,96.25,95.0,91.25,97.5,93.75±3.64,67.57±8.48
31.25,36.25,28.75,27.5,38.75,32.50±4.84,1.14±1.19
68.75,75.0,63.75,83.75,70.0,72.25±7.57,31.09±10.20
95.0,100.0,91.25,97.5,93.75,95.50±3.38,72.20±9.37
40.0,46.25,51.25,38.75,46.25,44.50±5.12,5.80±2.81
47.5,60.0,50.0,42.5,47.5,49.50±6.47,8.97±4.72
57.5,57.5,61.25,63.75,63.75,60.75±3.14,17.74±2.97
100.0,98.75,98.75,100.0,100.0,99.50±0.68,83.71±2.74
98.75,96.25,93.75,92.5,97.5,95.75±2.59,72.39±6.82
60.0,42.5,48.75,60.0,46.25,51.50±8.07,10.59±5.93
42.5,50.0,38.75,53.75,41.25,45.25±6.34,6.35±3.74
48.75,45.0,57.5,53.75,48.75,50.75±4.89,9.65±3.50
73.75,57.5,75.0,73.75,71.25,70.25±7.26,28.47±7.90
35.0,55.0,55.0,43.75,35.0,44.75±10.02,6.68±5.60
91.25,92.5,93.75,97.5,91.25,93.25±2.59,66.16±6.38
48.75,42.5,61.25,51.25,41.25,49.00±8.02,8.87±5.72
50.0,40.0,43.75,52.5,32.5,43.75±8.00,5.78±4.00
70.0,76.25,75.0,80.0,77.5,75.75±3.71,35.17±5.03
48.75,52.5,50.0,52.5,48.75,50.50±1.90,9.27±1.32
32.5,30.0,35.0,35.0,31.25,32.75±2.24,0.99±0.52
40.0,42.5,38.75,36.25,38.75,39.25±2.27,3.09±0.94
63.75,67.5,77.5,57.5,85.0,70.25±10.98,29.36±13.97
50.0,57.5,55.0,43.75,40.0,49.25±7.37,8.93±4.80
62.5,57.5,70.0,61.25,76.25,65.50±7.53,23.08±8.49
51.25,51.25,51.25,37.5,47.5,47.75±5.96,7.78±3.22
48.75,51.25,50.0,57.5,70.0,55.50±8.78,13.79±8.12
88.75,85.0,82.5,75.0,68.75,80.00±8.05,42.18±12.12
97.5,96.25,96.25,97.5,95.0,96.50±1.05,74.04±2.84
72.5,85.0,75.0,85.0,75.0,78.50±6.02,39.47±9.15
33.75,38.75,35.0,36.25,33.75,35.50±2.09,1.73±0.69
30.0,32.5,32.5,36.25,35.0,33.25±2.44,1.12±0.60
33.75,30.0,35.0,40.0,33.75,34.50±3.60,1.53±1.10
88.75,100.0,100.0,100.0,100.0,97.75±5.03,79.84±13.14
81.25,73.75,80.0,90.0,82.5,81.50±5.82,44.12±9.57
57.5,66.25,45.0,61.25,67.5,59.50±9.04,17.30±7.57
45.0,51.25,56.25,57.5,68.75,55.75±8.78,13.99±7.61
48.75,48.75,37.5,43.75,47.5,45.25±4.79,6.18±2.45
78.75,90.0,87.5,86.25,71.25,82.75±7.68,46.55±12.12
73.75,53.75,50.0,67.5,60.0,61.00±9.74,18.88±9.61
95.0,97.5,92.5,98.75,97.5,96.25±2.50,73.70±6.57
66.25,81.25,92.5,90.0,81.25,82.25±10.28,46.50±16.02
46.25,45.0,35.0,40.0,46.25,42.50±4.92,4.74±2.22
41.25,56.25,45.0,51.25,57.5,50.25±7.04,9.56±4.72
21.25,25.0,21.25,21.25,26.25,23.00±2.44,0.01±0.01
66.25,50.0,61.25,73.75,63.75,63.00±8.64,20.63±8.47
81.25,87.5,86.25,66.25,81.25,80.50±8.46,43.02±12.08
68.75,71.25,37.5,67.5,55.0,60.00±14.06,18.96±11.20
37.5,43.75,47.5,33.75,43.75,41.25±5.52,4.21±2.43
56.25,71.25,50.0,75.0,55.0,61.50±10.95,19.63±11.13
43.75,53.75,36.25,43.75,40.0,43.50±6.52,5.43±3.71
41.25,35.0,28.75,36.25,33.75,35.00±4.51,1.75±1.36
58.84,61.41,59.33,61.53,60.37,60.30±20.58,24.16±24.35
